date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:12:08	367904/367904	---M--	200	added ('OK')	font/woff	etag:W/%2259d20-US5wppM3yj/FvyXHG6zrEN1zxXU%22	https://cdn.jsdelivr.net/gh/devicons/devicon@v2.12.0/fonts/devicon.woff?f7gwp9	C:/Users/douce/OneDrive/Bureau/site%20perso/cdn.jsdelivr.net/gh/devicons/devicon@v2.12.0/fonts/devicon43c3.woff	(from https://cdn.jsdelivr.net/gh/devicons/devicon@v2.12.0/devicon.min.css)
19:12:09	1421279/1421279	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2215afdf-TSh6icd2GzcVNdZAGjk+GlVSths%22	https://cdn.jsdelivr.net/gh/devicons/devicon@v2.12.0/fonts/devicon.svg?f7gwp9	C:/Users/douce/OneDrive/Bureau/site%20perso/cdn.jsdelivr.net/gh/devicons/devicon@v2.12.0/fonts/devicon43c3.svg	(from https://cdn.jsdelivr.net/gh/devicons/devicon@v2.12.0/devicon.min.css)
19:12:11	79552/79552	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22604bbf1a-136c0%22	https://lachlan-dev.com/assets/css/custom-logos/font/fontello.eot?15344782	C:/Users/douce/OneDrive/Bureau/site%20perso/lachlan-dev.com/assets/css/custom-logos/font/fontellob532.eot	(from https://lachlan-dev.com/assets/css/custom-logos/css/fontello.css)
19:12:13	34304/34304	---M--	200	added ('OK')	font/woff2	etag:%22604bbf1a-8600%22	https://lachlan-dev.com/assets/css/custom-logos/font/fontello.woff2?15344782	C:/Users/douce/OneDrive/Bureau/site%20perso/lachlan-dev.com/assets/css/custom-logos/font/fontellob532.woff2	(from https://lachlan-dev.com/assets/css/custom-logos/css/fontello.css)
19:12:15	41980/41980	---M--	200	added ('OK')	font/woff	etag:%22604bbf1a-a3fc%22	https://lachlan-dev.com/assets/css/custom-logos/font/fontello.woff?15344782	C:/Users/douce/OneDrive/Bureau/site%20perso/lachlan-dev.com/assets/css/custom-logos/font/fontellob532.woff	(from https://lachlan-dev.com/assets/css/custom-logos/css/fontello.css)
19:12:17	79384/79384	---M--	200	added ('OK')	application/octet-stream	etag:%22604bbf1a-13618%22	https://lachlan-dev.com/assets/css/custom-logos/font/fontello.ttf?15344782	C:/Users/douce/OneDrive/Bureau/site%20perso/lachlan-dev.com/assets/css/custom-logos/font/fontellob532.ttf	(from https://lachlan-dev.com/assets/css/custom-logos/css/fontello.css)
19:12:20	215801/215801	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22604bbf1a-34af9%22	https://lachlan-dev.com/assets/css/custom-logos/font/fontello.svg?15344782	C:/Users/douce/OneDrive/Bureau/site%20perso/lachlan-dev.com/assets/css/custom-logos/font/fontellob532.svg	(from https://lachlan-dev.com/assets/css/custom-logos/css/fontello.css)
19:12:22	63766/63766	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2258a124a0-f916%22	https://lachlan-dev.com/assets/css/icons/font-mfizz.eot	C:/Users/douce/OneDrive/Bureau/site%20perso/lachlan-dev.com/assets/css/icons/font-mfizz.eot	(from https://lachlan-dev.com/assets/css/icons/font-mfizz.css)
19:12:24	63766/63766	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2258a124a0-f916%22	https://lachlan-dev.com/assets/css/icons/font-mfizz.eot?	C:/Users/douce/OneDrive/Bureau/site%20perso/lachlan-dev.com/assets/css/icons/font-mfizzd41d.eot	(from https://lachlan-dev.com/assets/css/icons/font-mfizz.css)
19:12:26	40904/40904	---M--	200	added ('OK')	font/woff	etag:%2258a124a0-9fc8%22	https://lachlan-dev.com/assets/css/icons/font-mfizz.woff	C:/Users/douce/OneDrive/Bureau/site%20perso/lachlan-dev.com/assets/css/icons/font-mfizz.woff	(from https://lachlan-dev.com/assets/css/icons/font-mfizz.css)
19:12:28	63584/63584	---M--	200	added ('OK')	application/octet-stream	etag:%2258a124a0-f860%22	https://lachlan-dev.com/assets/css/icons/font-mfizz.ttf	C:/Users/douce/OneDrive/Bureau/site%20perso/lachlan-dev.com/assets/css/icons/font-mfizz.ttf	(from https://lachlan-dev.com/assets/css/icons/font-mfizz.css)
19:12:31	489890/489890	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22604c484d-779a2%22	https://lachlan-dev.com/assets/css/icons/font-mfizz.svg	C:/Users/douce/OneDrive/Bureau/site%20perso/lachlan-dev.com/assets/css/icons/font-mfizz.svg	(from https://lachlan-dev.com/assets/css/icons/font-mfizz.css)
19:12:33	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/gh/devicons/devicon@v2.12.0/devicon.min.css)
